id,relaxation_step_number,formation_energy_ev_natom,bandgap_energy_ev
1,0,0.06796006571221369,3.43867338
2,0,-0.25190662539898767,2.83792612
2,1,0.2500846288376124,2.88924613
2,2,0.2513900444637329,2.94749203
2,3,0.2500653350898574,2.94130848
2,4,0.24949977727374065,2.93344982
2,5,0.24913151602504516,2.90336674
2,6,0.24902722040224035,2.9157307
2,7,0.24899468258809065,2.9214895
2,8,0.24898250196201846,2.91842657
2,9,0.2489795372775916,2.91727512
2,10,0.2489743813384848,2.9191342999999996
2,11,0.24897075758872236,2.91995395
2,12,0.24896952446397336,2.92028449
2,13,0.2489687844627042,2.92053316
2,14,0.24896855633869566,2.92057616
2,15,0.24896803165120215,2.92056077
2,16,0.2489676725917889,2.9210142999999995
3,0,-0.18214404728269074,2.75123211
3,1,0.18212685603202766,2.74551908
3,2,0.18212120103044072,2.74380383
3,3,0.18211673665518904,2.7437362000000003
3,4,0.18211433040505653,2.743949
3,5,0.18211307290584955,2.7441299
3,6,0.18211245665725076,2.74399026
3,7,0.18211200165524133,2.74376465
4,0,-0.21723445035604527,3.3502121
4,1,0.21723655285313725,3.34742922
4,2,0.21723424953052015,3.34924547
5,0,-0.050454912925488316,1.37913078
5,1,0.05045587886343128,1.37961523
5,2,0.05045491947385017,1.37914707
5,3,0.05045543104643002,1.37957554
5,4,0.0504550169716822,1.37924677
5,5,0.05045513229561038,1.37940232
5,6,0.050455025120754726,1.37928024
6,0,-0.22092638456342684,2.16510875
6,1,0.22093086518907512,2.16130093
6,2,0.22092619206432573,2.16330071
7,0,-0.061747564304823754,0.86317112
7,1,0.059510983046493486,0.90044603
7,2,0.05781789710454178,0.9328799999999999
7,3,0.05659454272972653,0.98353679
7,4,0.056473657732567524,0.99409747
7,5,0.05627593771350803,0.98625622
7,6,0.05623104087135289,0.98473381
7,7,0.05621814554615412,0.98500892
7,8,0.056217156161437735,0.98533103
7,9,0.05621419271847117,0.98539117
7,10,0.056211910869024,0.98528668
7,11,0.05621095742753823,0.98538443
8,0,-0.23254744344740175,1.65368972
8,1,0.23749709718686066,1.81898996
8,2,0.2295331646928389,1.71998594
8,3,0.22857923093397406,1.74165571
8,4,0.2277512959335581,1.74749728
8,5,0.22713388218107866,1.74290034
8,6,0.22648370968454398,1.74855823
8,7,0.2263285109256685,1.75288103
8,8,0.22595193344386644,1.74481503
8,9,0.2258563084433263,1.7372631
8,10,0.2256922471860889,1.73921876
8,11,0.2255369396880269,1.74055266
8,12,0.22532680468430044,1.73738175
8,13,0.22500373717775798,1.72615127
8,14,0.22475615469375046,1.72075264
8,15,0.22455351343523944,1.7132129
8,16,0.22442384593887252,1.71306829
8,17,0.22435110842707215,1.71234792
8,18,0.2243247784281266,1.71329494
8,19,0.22431137093008147,1.71382447
8,20,0.22430256469306187,1.71399013
8,21,0.22429633843785268,1.71457963
8,22,0.22429302467571688,1.71521417
8,23,0.2242917809235223,1.7161897000000002
8,24,0.22429156844737008,1.71696983
8,25,0.2242916559407604,1.71756073
8,26,0.22429170219766087,1.71780032
8,27,0.22429181344705285,1.71792486
9,0,-0.22219410618163238,2.51970819
9,1,0.22200472243639524,2.524002
9,2,0.22169818648762885,2.53259778
9,3,0.22129324993329647,2.54728018
9,4,0.2207863071180327,2.56543197
9,5,0.2201004830567399,2.58823693
9,6,0.21945938805401968,2.61898308
9,7,0.21946669587123324,2.62914847
9,8,0.21938053774647412,2.62449302
9,9,0.2193693852495926,2.62619546
9,10,0.21935171368568265,2.62748928
9,11,0.21935075181318095,2.62657156
9,12,0.21934482587312232,2.62589837
9,13,0.21934264743322274,2.62651583
9,14,0.21934024462098026,2.62612758
9,15,0.2193395833637624,2.62588329
9,16,0.21933846493084275,2.6257189999999997
9,17,0.21933778618404176,2.62592348
9,18,0.2193374908711121,2.62571816
10,0,-0.19940845466408064,2.51946931
10,1,0.19940778372529167,2.51929807
10,2,0.1994067043551695,2.51916213
10,3,0.1994059821618066,2.5189888
10,4,0.19940543216762308,2.5188381
10,5,0.1994052456029749,2.51869879
11,0,0.058088267142011325,3.87233579
12,0,-0.2618897337333692,2.7956319
12,1,0.2602262377968145,2.8456061000000004
12,2,0.2608008302922826,2.87823024
12,3,0.2595349199827979,2.8791077
12,4,0.25925218216798385,2.88083519
12,5,0.2590423740457481,2.88078846
12,6,0.25899309935994097,2.8790389
12,7,0.2589747056072156,2.87872797
12,8,0.2589666165476956,2.88073922
12,9,0.25896163123434235,2.88032082
12,10,0.25895997873249144,2.8796397999999996
12,11,0.25895849560583883,2.87940862
12,12,0.2589565171729191,2.88017172
12,13,0.2589551937307988,2.88082974
12,14,0.2589547052957641,2.88065214
12,15,0.2589544818556533,2.88031836
12,16,0.25895389373545186,2.88042624
12,17,0.2589538471693231,2.88053214
13,0,0.0534630979063877,3.90391287
14,0,0.07798807966537424,2.53712537
15,0,-0.38998571426418494,0.91733799
15,1,0.3900010126926645,0.93004551
15,2,0.3899825570624671,0.92258657
15,3,0.3899811873816361,0.92353659
15,4,0.3899800233193673,0.92613145
15,5,0.3899802780142636,0.92692691
15,6,0.389977344275394,0.92332388
15,7,0.3899782164444332,0.92131941
15,8,0.3899769608324277,0.92284155
15,9,0.3899761395769019,0.92323591
15,10,0.3899750620803388,0.92268568
15,11,0.3899752264624112,0.92239422
15,12,0.3899750786331424,0.92313155
15,13,0.3899740239648963,0.92293916
15,14,0.3899728633223276,0.92377265
15,15,0.3899718658249185,0.92429029
15,16,0.3899710580117244,0.92437517
15,17,0.3899699548856006,0.92473307
15,18,0.3899690595790162,0.92412455
15,19,0.3899682739574928,0.92426957
15,20,0.3899676855144208,0.92418996
15,21,0.3899673411433469,0.92466401
15,22,0.3899670742612216,0.92487699
15,23,0.3899670005193912,0.92505825
16,0,-0.17079025565180928,1.4512326
16,1,0.16753750064708586,1.54864973
16,2,0.16676823564921506,1.5806001
16,3,0.16640136064779654,1.59077726
16,4,0.1661927103305061,1.58998587
16,5,0.16607973096142814,1.58566953
16,6,0.16601684221313914,1.58357988
16,7,0.1659881900286564,1.58384313
16,8,0.1659755128366669,1.58610984
16,9,0.16597082377302286,1.58692393
16,10,0.16596874438619125,1.58709594
16,11,0.16596750814642292,1.58633739
16,12,0.16596654408203906,1.58560817
16,13,0.16596567938904627,1.5850068000000002
16,14,0.16596499721345026,1.5849147
16,15,0.16596448595919355,1.58521495
17,0,-0.254400362459819,2.28921694
17,1,0.2543989246487399,2.28951304
17,2,0.2543930640240433,2.29130327
17,3,0.25439219245981803,2.29157557
17,4,0.25439053683612656,2.29177052
17,5,0.2543901915237257,2.29151168
17,6,0.254389821834593,2.29114475
17,7,0.25438961183681386,2.29093047
17,8,0.2543894433983951,2.29084227
17,9,0.2543892277708437,2.29092197
17,10,0.2543889440244129,2.29118979
17,11,0.2543888996478927,2.29133093
18,0,-0.05025216383728548,1.18480551
18,1,0.05025404288971913,1.1844535
18,2,0.05025148477216135,1.18352959
18,3,0.050252031960553716,1.18485196
18,4,0.05025201788157574,1.18423192
18,5,0.050252017263119335,1.18451744
18,6,0.050251575721631525,1.1844238999999999
19,0,-0.19186358507795376,2.56861884
19,1,0.19186682840881986,2.56459959
19,2,0.1918630584168568,2.56701044
20,0,0.20630713885111615,1.5596333999999998
21,0,0.09176429246508633,1.13647089
22,0,-0.056614723389429855,3.96985678
22,1,0.056617580053170975,3.96767461
22,2,0.0566148175539638,3.96913369
23,0,-0.20268714637495577,2.91429436
23,1,0.20268948137527326,2.9096525
23,2,0.20268646388103664,2.91217115
24,0,-0.2752856532242731,1.18079983
24,1,0.2752850647812011,1.18071225
24,2,0.2752827847871231,1.18047159
24,3,0.2752821432295605,1.18071231
24,4,0.2752807450906403,1.18110095
25,0,-0.09429219024696067,3.91726585
25,1,0.09172708941150633,4.0264269
25,2,0.09165684524759854,4.03763433
25,3,0.09164776441593858,4.03809049
25,4,0.09164367774701533,4.03749542
25,5,0.09164291357592448,4.03712344
25,6,0.0916426927460634,4.03708984
26,0,-0.18126562757515785,3.22415557
26,1,0.17916568069722416,3.2965371
26,2,0.17889546257265465,3.34995694
26,3,0.17863469444819202,3.34953349
26,4,0.1784627100732905,3.33655591
26,5,0.1784036850767734,3.33463394
26,6,0.1783499825751278,3.33431314
26,7,0.17833335694831476,3.33538589
26,8,0.1783247150706302,3.33619379
26,9,0.17832082632594393,3.3363708
26,10,0.17831798944826005,3.3360852999999997
26,11,0.17831629632382828,3.3356782999999997
26,12,0.17831505881986232,3.33527035
26,13,0.1783142706972285,3.33513707
26,14,0.1783136656968054,3.33518318
26,15,0.17831319882589014,3.33530831
27,0,-0.35181050778192,0.97235279
27,1,0.3517959746568522,0.99080808
27,2,0.3517898602876812,0.97733241
27,3,0.3517903665397171,0.97855742
27,4,0.351778295917029,0.98010249
27,5,0.3517759877922799,0.9796971999999999
27,6,0.3517732409090968,0.97907095
27,7,0.35176974653040816,0.97687967
27,8,0.3517682565325231,0.97727054
27,9,0.35176527404473745,0.9769914000000001
27,10,0.3517636571632465,0.97641537
27,11,0.3517617877878365,0.97618544
27,12,0.35176060028788925,0.97613661
27,13,0.3517602496594918,0.9762589
27,14,0.3517599684164452,0.97598912
27,15,0.3517598290363821,0.97599524
28,0,-0.22365251748851733,1.97164857
28,1,0.22366112936424545,1.96566579
28,2,0.2236526218621293,1.96913365
28,3,0.2236535824886232,1.96581224
28,4,0.22365246123854374,1.96769234
28,5,0.22365265436292248,1.96614258
28,6,0.2236522362386495,1.96720346
29,0,-0.18979653434143984,1.14907867
29,1,0.18979709184350213,1.14946298
29,2,0.18979651778863627,1.14998505
29,3,0.18979679683980066,1.15001198
29,4,0.18979613621922908,1.14931703
29,5,0.18979634371135035,1.14956078
29,6,0.18979633057824685,1.14955887
29,7,0.189796127142472,1.14952363
29,8,0.189796094346093,1.14957181
29,9,0.1897962615294091,1.14950851
29,10,0.18979609309099035,1.14958494
29,11,0.18979594620759602,1.14959924
29,12,0.1897958724657656,1.14963564
30,0,-0.21286826973209827,3.29261651
30,1,0.21266116472816066,3.29561115
